Aluenumero	Alue	Vaalipiiri	2.K Äänestysprosentti	2.K Ennakkoäänestysprosentti	2.K Ääniä yhteensä	2.K Äänioikeutettuja	2.K Äänioikeutettuja miehiä	2.K Pekka Haavisto ääniä	2.K Pekka Haavisto osuus	2.K Pekka Haavisto ennakkoääniä	2.K Pekka Haavisto ennakko osuus	2.K Sauli Niinistö ääniä	2.K Sauli Niinistö osuus	2.K Sauli Niinistö ennakkoääniä	2.K Sauli Niinistö ennakko osuus
21	543	Nurmijärvi	02 Uudenmaan vaalipiiri	73.5	35.1	20876	29078	49.2	6961	33.3	3114	30.7	13915	66.7	7021	69.3
22	611	Pornainen	02 Uudenmaan vaalipiiri	72.9	27.6	2522	3509	50.5	845	33.5	298	31.1	1677	66.5	661	68.9
23	616	Pukkila	02 Uudenmaan vaalipiiri	66.1	37.8	1009	1552	50.7	350	34.7	176	30.2	659	65.3	407	69.8
24	638	Porvoo	02 Uudenmaan vaalipiiri	72.7	41.2	26827	38729	48	10834	40.4	6104	38.5	15993	59.6	9748	61.5
25	710	Raasepori	02 Uudenmaan vaalipiiri	69.2	26.1	15684	24745	47.7	7428	47.4	2786	43.5	8256	52.6	3620	56.5
26	753	Sipoo	02 Uudenmaan vaalipiiri	76.7	29.2	10364	14120	48.3	3864	37.3	1397	34.4	6500	62.7	2668	65.6
27	755	Siuntio	02 Uudenmaan vaalipiiri	73.2	30.2	3237	4577	50.3	1282	39.6	530	38.5	1955	60.4	845	61.5
28	858	Tuusula	02 Uudenmaan vaalipiiri	74.1	32.1	20213	28102	49.3	6791	33.6	2811	31.4	13422	66.4	6154	68.6
29	927	Vihti	02 Uudenmaan vaalipiiri	71.7	38.3	14959	21389	48.8	5239	35	2615	32.1	9720	65	5525	67.9
30	019	Aura	03 Varsinais-Suomen vaalipiiri	71.2	36.2	2095	3008	48.6	695	33.2	345	31.9	1400	66.8	738	68.1
31	202	Kaarina	03 Varsinais-Suomen vaalipiiri	75	36.2	17491	23991	47.8	6231	35.6	2740	31.7	11260	64.4	5903	68.3
32	284	Koski Tl	03 Varsinais-Suomen vaalipiiri	69.2	34.8	1333	1976	48.8	346	26	171	25.3	987	74	505	74.7
33	304	Kustavi	03 Varsinais-Suomen vaalipiiri	74.4	44.1	560	784	49.1	151	27	80	23.4	409	73	262	76.6
34	322	Kemiönsaari	03 Varsinais-Suomen vaalipiiri	67.9	32.5	3941	6671	48.6	1578	40	819	38.2	2363	60	1327	61.8
